"stock_code","total_qty","total_rev","cluster"
"21989",2068,1675.24,2
"21990",1219,1745.05,2
"21991",471,675.53,2
"21992",1163,1658.69,2
"21993",1366,1934.85,2
"22021",350,577.499999999999,2
"22023",1143,481.290000000001,2
"22024",2304,928.989999999998,2
"22025",1776,707.04,2
"22026",1572,647.28,2
"22027",4165,1702.78999999999,2
"22028",2915,1203.49,2
"22029",7858,3130.21999999999,3
"22030",5361,2130.63,2
"22031",363,158.61,2
"22032",361,151.62,2
"22033",336,141.12,2
"22034",3,1.26,2
"22035",1406,574.06,2
"22037",3795,1573.11999999999,2
"22038",475,199.5,2
"22039",250,105,2
"22040",725,304.5,2
"22041",3812,8450.82000000002,2
"22042",372,156.24,2
"22043",1188,283.32,2
"22044",816,196.44,2
"22045",6502,2662.84,2
"22046",2250,929,2
"22047",3400,1384,2
"22048",975,393.5,2
"22049",1025,275.25,2
"22050",1225,498.5,2
"22051",1000,420,2
"22052",571,239.82,2
"22053",4236,3596.42,2
"22055",1248,1665.08,2
"22057",578,648.18,2
"22059",1749,1973.17,2
"22060",233,1118.95,2
"22061",565,3864.63,2
"22062",559,603.89,2
"22063",544,1127.2,2
"22064",1608,2142.6,2
"22065",6440,2892.02,2
"22066",2248,1035.38,2
"22067",389,569.13,2
"22068",437,509.37,2
"22069",220,240.78,2
"22070",874,2034.43,2
"22071",711,1298.79,2
"22072",813,2539.19,2
"22073",300,1074.6,2
"22074",1001,774.59,2
"22075",1565,2019.23,2
"22076",1035,1304.37,2
"22077",8605,14988.59,3
"22078",1300,2610,2
"22079",1715,2831.99,2
"22080",1182,1902.3,2
"22081",595,994.87,2
"22082",2558,4208.78000000001,2
"22083",4307,12043.21,3
"22084",4893,13435.15,3
"22085",507,1415.65,2
"22086",15617,42660.83,3
"22087",3779,10264.05,2
"22088",1698,4683.09999999999,2
"22089",1190,3398.5,2
"22090",6879,18791.8900000001,3
"22091",1945,922.789999999999,2
"22092",668,312.34,2
"22093",1828,806.759999999998,2
"22094",2087,933.239999999998,2
"22095",1578,1432.04,2
"22096",1364,564.479999999999,2
"22097",1591,692.729999999999,2
"22098",1957,911.719999999999,2
"22099",1405,707.629999999999,2
"22100",729,305.81,2
"22101",837,631.62,2
"22102",1533,715.05,2
"22103",1165,714.09,2
"22104",151,120.07,2
"22105",506,566.5,2
"22106",286,584.9,2
"22107",293,967.48,2
"22108",101,246.53,2
"22109",1383,4993.05,2
"22110",618,1564.61,2
"22111",4259,20104.3500000001,3
"22112",5160,23624.2400000001,3
"22113",3156,12191.15,3
"22114",3736,15415.22,3
"22115",1495,1706.81,2
"22116",505,493.39,2
"22117",1290,3802.5,2
"22118",219,748.83,2
"22119",348,1731.36,2
"22120",505,4856.51999999999,2
"22121",333,1930.89,2
"22123",443,794.39,2
"22124",79,130.37,2
"22125",4,23.8,2
"22127",402,479.7,2
"22128",1729,2042.69,2
"22129",992,790.56,2
"22130",1505,1260.53,2
"22131",1890,3370.42,2
"22132",935,772.910000000001,2
"22133",702,585.78,2
"22134",637,255.18,2
"22135",262,114.96,2
"22136",334,531.9,2
"22137",68,191,2
"22138",4797,23007.5500000001,3
"22139",4248,20470.7800000001,3
"22141",2448,5025.58,2
"22142",3073,4339.29,2
"22144",3468,7128.10000000002,2
"22145",30,63,2
"22146",1,1.95,2
"22147",6127,8314.54999999998,3
"22148",1819,3367.05000000001,2
"22149",5890,11566.39,3
"22150",2923,5478.04999999997,2
"22151",14877,5922.27,3
"22152",2351,967.55,2
"22153",2459,1012.62,2
"22154",3532,1457.52,2
"22155",2203,925.26,2
"22156",1875,1588.16,2
"22157",212,180.2,2
"22158",2895,8161.21,2
"22161",4143,857.33,2
"22162",106,312.7,2
"22163",626,580.94,2
"22164",71,209.45,2
"22165",267,1490.65,2
"22166",122,489.9,2
"22167",121,1059.95,2
"22168",139,1171.3,2
"22169",1075,8416.64,2
"22170",1023,6378.15,2
"22171",1723,12294.38,2
"22173",2151,6273.28999999999,2
"22174",2688,4032.56000000001,2
"22175",841,2384.95,2
"22176",489,1423.35,2
"22178",22433,28776.5100000001,3
"22179",796,5110.74,2
"22180",303,2962.65,2
"22181",577,477.97,2
"22182",206,723.7,2
"22183",74,466.95,2
"22184",8,68,2
"22185",1428,2029.7,2
"22186",801,1723.79,2
"22187",1183,2562.27,2
"22188",4844,12261.9,3
"22189",8195,22715.57,3
"22190",566,785.13,2
"22191",1426,11587.2,2
"22192",907,7528.93,2
"22193",1352,11074.39,2
"22194",53,450.5,2
"22195",1699,2841.87,2
"22196",2385,2013.73,2
"22197",49183,37226.4300000001,1
"22198",873,1370.45,2
"22199",384,1328.5,2
"22200",326,1209.54,2
"22201",108,366,2
"22202",39,146.25,2
"22203",310,996.13,2
"22204",96,302.5,2
"22207",1200,4731.36,2
"22208",1289,1234.1,2
"22209",825,802.820000000001,2
"22210",914,822.570000000001,2
"22211",783,808.380000000001,2
"22212",1422,2917.46999999999,2
"22214",114,246.7,2
"22215",330,2254.5,2
"22216",327,182.31,2
"22217",765,647.51,2
"22218",1,4.25,2
"22219",3372,2818.61999999999,2
"22220",214,1499.5,2
"22221",124,964.4,2
"22222",824,2599.19999999999,2
"22223",315,902.850000000001,2
"22224",688,1973.6,2
"22227",1969,1276.85,2
"22228",852,598.159999999999,2
"22229",495,334.27,2
"22230",926,356.46,2
"22231",869,823.170000000001,2
"22232",623,506.43,2
"22233",541,515.29,2
"22236",308,3624.6,2
"22241",1788,2180.28,2
"22242",631,964.35,2
"22243",3055,4596.75,2
"22244",1617,2915.55,2
"22245",1199,966.110000000001,2
"22246",278,555.18,2
"22247",485,408.09,2
"22248",383,321.39,2
"22249",645,544.09,2
"22250",449,377.49,2
"22251",520,645.44,2
"22252",650,770.32,2
"22254",594,706.02,2
"22255",542,460.7,2
"22256",262,327.5,2
"22257",283,194.39,2
"22258",722,543.94,2
"22259",384,240.96,2
"22260",410,351.62,2
"22261",520,447.46,2
"22262",924,788.52,2
"22263",256,125.68,2
"22264",1393,518.77,2
"22265",514,334.1,2
"22266",1861,563.35,2
"22267",828,654.7,2
"22268",1838,666.44,2
"22269",841,521.73,2
"22270",211,773.97,2
"22271",1653,4716.86999999998,2
"22272",194,553.1,2
"22273",4469,11762.99,3
"22274",1301,3732.14999999999,2
"22275",69,527.85,2
"22276",253,645.15,2
"22277",355,728.62,2
"22278",244,1207.8,2
"22279",480,578.41,2
"22280",177,224.88,2
"22281",109,648.55,2
"22282",111,1425.27,2
"22283",258,2058.94,2
"22284",901,1486.65,2
"22285",834,1376.1,2
"22286",1051,867.27,2
"22287",750,633.96,2
"22288",453,566.25,2
"22289",126,157.5,2
"22291",1243,1802.35,2
"22292",1088,1520,2
"22293",821,1190.45,2
"22294",5439,6671.07,2
"22295",2737,4420.17000000001,2
"22296",3055,4988.83000000001,2
"22297",3863,4715.03,2
"22299",1316,1231.34,2
"22300",1450,3047.34,2
"22301",2118,4529.34000000001,2
"22302",2288,4959.85000000001,2
"22303",2770,6124.15000000002,2
"22304",744,1268.06,2
"22305",684,1559.44,2
"22306",1138,1303.29,2
"22307",729,835.610000000001,2
"22308",145,356.89,2
"22309",293,709.38,2
"22310",531,841.79,2
"22311",1054,2925.5,2
"22312",503,1454.99,2
"22313",553,1482.89,2
"22314",517,1434.09,2
"22315",761,914.77,2
"22316",638,706.3,2
"22317",172,506.32,2
"22318",396,1161,2
"22319",1346,587.86,2
"22320",183,1100.21,2
"22321",760,646,2
"22322",390,331.5,2
"22323",1,1.95,2
"22324",228,456.36,2
"22325",153,755.25,2
"22326",8100,22175.5200000002,3
"22327",832,2358.4,2
"22328",6481,17604.9900000001,3
"22329",1387,2182.95,2
"22331",1768,2750.96,2
"22332",982,1562.7,2
"22333",4391,6749.22999999998,2
"22334",684,1101.44,2
"22335",2024,1250.2,2
"22336",2283,668.09,2
"22337",635,383.95,2
"22338",4179,925.71,2
"22339",2283,569.29,2
"22340",993,430.23,2
"22341",405,672.65,2
"22342",833,769.65,2
"22343",1705,744.91,2
"22344",1049,373.31,2
"22345",972,318.48,2
"22346",885,309.69,2
"22348",3863,3223.48999999999,2
"22349",1341,5227.93,2
"22350",1356,3586.32000000001,2
"22351",12,19.8,2
"22352",2853,6717.79000000003,2
"22353",61,155.55,2
"22354",700,2502.82,2
"22355",8975,7138.65000000001,3
"22356",7306,5840.64,3
"22357",324,1332.6,2
"22358",456,1341.28,2
"22359",162,480.74,2
"22360",886,2455.9,2
"22361",539,1513.25,2
"22362",349,987.230000000001,2
"22363",454,1226.94,2
"22364",519,1429.97,2
"22365",730,4873.44,2
"22366",722,4887.82,2
"22367",3543,6572.49,2
"22371",830,3489.88,2
"22372",221,935.33,2
"22374",448,1882.84,2
"22375",253,1056.05,2
"22376",193,820.69,2
"22377",1038,1510.89,2
"22378",1685,2092.56,2
"22379",6088,11942.43,3
"22380",1156,2274.75,2
"22381",3169,6229.58,2
"22382",9912,15881.1999999999,3
"22383",11722,18723.7,3
"22384",10254,16349.5,3
"22385",8236,15331.0199999999,3
"22386",20165,37289.5900000001,3
"22389",329,596.91,2
"22390",261,410.72,2
"22391",146,186.06,2
"22393",487,617.38,2
"22394",160,190.8,2
"22395",134,130.26,2
"22396",1182,572.819999999999,2
"22398",2545,1528.68,2
"22399",1130,1309.9,2
"22400",1393,714.599999999998,2
"22402",1705,1008.14,2
"22403",1223,569.749999999999,2
"22405",347,351.19,2
"22406",319,336.89,2
"22407",94,98.07,2
"22408",137,141.5,2
"22409",216,270,2
"22410",223,212.88,2
"22411",10518,20174.2299999999,3
"22412",877,1784.7,2
"22413",3690,10647.3,2
"22414",253,1645.67,2
"22415",19,151.05,2
"22416",850,1174.9,2
"22417",8103,4131.68999999999,3
"22418",6267,5209.16999999999,2
"22419",2812,1236.12,2
"22420",1199,500.33,2
"22421",1925,795.2,2
"22422",971,397.25,2
"22423",12402,142592.95,1
"22424",713,8519,2
"22425",434,2086.11,2
"22426",660,2231.8,2
"22427",1995,11444.93,2
"22428",221,1528.73,2
"22429",1193,4954.29,2
"22430",544,2646.6,2
"22431",1981,3686.64999999999,2
"22432",1648,3100.57999999999,2
"22433",1341,2487.53,2
"22434",779,1521.23,2
"22435",2680,3257.04,2
"22436",2110,1373.3,2
"22437",2727,2263.35,2
"22438",900,825.24,2
"22439",1768,1176.8,2
"22440",5897,2254.14,2
"22441",994,2069.4,2
"22442",292,1177.8,2
"22443",153,1216.35,2
"22444",763,935.51,2
"22445",472,1368.2,2
"22446",161,432.99,2
"22447",75,223.95,2
"22448",187,576.31,2
"22449",365,1217.68,2
"22450",184,614,2
"22451",202,657.5,2
"22452",388,1094.8,2
"22453",334,951.700000000001,2
"22454",228,639,2
"22456",1452,6833.2,2
"22457",8480,24245.5200000003,3
"22458",513,1371.43,2
"22459",375,962.73,2
"22460",2381,2871.84,2
"22461",231,1251.25,2
"22464",3200,4823.50000000001,2
"22465",1965,2839.63,2
"22466",2929,5071.94999999999,2
"22467",7688,17580.3499999999,3
"22468",467,3032.39,2
"22469",16775,28228.6399999999,3
"22470",9591,28520.9500000002,3
"22471",360,1097.68,2
"22472",293,1234.07,2
"22473",437,1239.39,2
"22474",244,1009.04,2
"22475",281,1225.95,2
"22476",811,2150.77,2
"22477",1290,1778.1,2
"22478",1417,1936.85,2
"22479",1078,1513.1,2
"22480",613,729.77,2
"22481",694,608.52,2
"22482",448,523.52,2
"22483",726,2041.78,2
"22485",462,5652.9,2
"22486",52,288.94,2
"22487",724,6778.80999999996,2
"22488",2911,4636.91,2
"22489",9314,3754.88999999999,3
"22491",3910,3130.83999999999,2
"22492",26076,16039.2399999999,3
"22493",2354,3740.58,2
"22494",890,1102.64,2
"22495",242,515.18,2
"22496",243,477.09,2
"22497",178,756.5,2
"22498",229,1362.55,2
"22499",1734,9928.83000000003,2
"22500",240,840.200000000001,2
"22501",1194,10818.9,2
"22502",1488,47366.2,3
"22503",64,1279.2,2
"22504",160,3012.4,2
"22505",1365,6306.19,2
"22507",2786,12411.02,2
"22508",1516,5938.21,2
"22509",205,1931.75,2
"22510",210,404.62,2
"22511",245,455.87,2
"22512",118,236,2
"22513",135,408.73,2
"22514",261,539.100000000001,2
"22515",237,488.7,2
"22516",171,350.1,2
"22517",186,381.6,2
"22518",333,663.300000000001,2
"22519",370,741.000000000001,2
"22520",705,599.25,2
"22521",607,515.95,2
"22522",923,759.590000000001,2
"22523",844,717.400000000001,2
"22524",592,721,2
"22525",458,553.5,2
"22526",112,1406.4,2
"22529",816,329.76,2
"22530",3514,1431.96,2
"22531",3293,1348.5,2
"22532",1063,360.06,2
"22533",1745,607.62,2
"22534",4331,1735.5,2
"22535",1716,631.44,2
"22536",4721,1782.18,2
"22537",1818,763.56,2
"22538",387,151.5,2
"22539",2824,1050.41,2
"22540",2451,915.78,2
"22541",466,181.04,2
"22543",1436,516.61,2
"22544",4414,1628.3,2
"22545",1089,391.11,2
"22546",2065,767.83,2
"22547",738,279.51,2
"22548",1873,2097.96,2
"22549",2992,4237.04000000001,2
"22550",1102,3810.71,2
"22551",7664,12151.7999999999,3
"22553",4036,6505.80000000001,2
"22554",7307,11637.4299999999,3
"22555",5885,9462.28999999998,3
"22556",5952,9596.95999999998,3
"22557",4573,7346.69000000001,2
"22558",8418,12545.38,3
"22559",387,472.77,2
"22560",8014,9311.47,3
"22561",5695,9072.87000000002,3
"22562",1398,1720.42,2
"22563",2785,3254.6,2
"22564",2673,3005.44,2
"22565",818,712.460000000001,2
"22566",834,721.38,2
"22567",2368,3048.2,2
"22568",3284,11783.05,3
"22569",2698,9655.48,2
"22570",3018,10694.81,2
"22571",2207,1813.55,2
"22572",1265,1050.29,2
"22573",2445,2040.81,2
"22574",2124,1854.54,2
"22575",622,1160.1,2
"22576",1419,1218.63,2
"22577",9784,3416.48,3
"22578",9630,3165.22000000001,3
"22579",4808,1665.16,2
"22580",836,4787.68,2
"22581",1090,705.72,2
"22582",1029,2496.76,2
"22583",529,1348.95,2
"22584",2241,5496.59000000001,2
"22585",6062,7149.7,3
"22586",796,676.6,2
"22587",845,718.250000000001,2
"22588",605,1732.41,2
"22589",323,940.49,2
"22591",374,1250.84,2
"22592",506,1886.08,2
"22593",2049,1736.97,2
"22594",1744,1480.06,2
"22595",6516,5278.85999999999,2
"22596",3290,3567.7,2
"22597",2534,973.68,2
"22598",815,291.33,2
"22599",1489,528.21,2
"22600",1540,1303.54,2
"22601",2238,1827.42,2
"22602",1962,1647.42,2
"22603",1295,1089.83,2
"22604",1173,2647.96,2
"22605",709,9555.98,2
"22606",305,4336.75,2
"22607",1269,11601.14,2
"22608",4933,984.730000000001,2
"22609",5636,1219.88,2
"22610",9146,2320.58,3
"22611",219,1016.85,2
"22613",1488,1150.38,2
"22614",2957,961.289999999999,2
"22615",2024,618.42,2
"22616",25345,7266.71,3
"22617",2153,10210.89,2
"22618",66,621.66,2
"22619",2297,8597.5,2
"22620",4491,5960.07999999997,2
"22621",5895,9297.87,3
"22622",1295,13035.66,2
"22623",920,5031.57,2
"22624",1783,14788.33,3
"22625",1476,11895.73,2
"22626",504,4159.53,2
"22627",792,6599.79,2
"22628",775,3612.25,2
"22629",13919,24694.5900000002,3
"22630",11336,20129.4400000001,3
"22631",3375,6122.62999999999,2
"22632",4394,8751.12,2
"22633",4746,9550.56000000002,3
"22634",731,6681.84999999999,2
"22635",657,6062.99999999999,2
"22636",565,4656.3,2
"22637",2619,6308.57,2
"22638",255,394.42,2
"22639",763,1733.37,2
"22640",186,344.22,2
"22641",112,225.92,2
"22642",253,516.8,2
"22643",185,334.63,2
"22644",2052,2328.78,2
"22645",1757,2255.93,2
"22646",3927,4756.91000000001,2
"22647",721,429.85,2
"22649",751,3653.74999999999,2
"22650",800,1136,2
"22651",1992,1602.72,2
"22652",4864,7787.36,2
"22653",1072,2022.66,2
"22654",1058,5974.62,2
"22655",60,8125,2
"22656",26,3685,2
"22659",11094,19353.22,3
"22660",327,2157.33,2
"22661",5085,4028.19,2
"22662",6545,10360.69,3
"22663",3097,6008.41000000001,2
"22664",642,1178.18,2
"22665",1219,3425.00999999999,2
"22666",7373,20859.2700000002,3
"22667",2870,7952.89999999996,2
"22668",1965,5448.11,2
"22669",1027,2969.65,2
"22670",1754,2193.99,2
"22671",919,1465.31,2
"22672",1382,2227.62,2
"22673",772,960.58,2
"22674",1274,1536.71,2
"22675",1176,1423.89,2
"22676",1040,1303.64,2
"22677",874,1092.51,2
"22678",751,941.18,2
"22679",647,810.57,2
"22680",745,932.47,2
"22681",627,785.57,2
"22682",618,773.11,2
"22683",575,720.57,2
"22684",464,579.4,2
"22685",543,678.15,2
"22686",859,997.2,2
"22687",568,2991.7,2
"22688",700,3442.04,2
"22689",614,4340.44,2
"22690",1597,9635.88999999998,2
"22691",344,2268.64,2
"22692",1378,9468.07999999998,2
"22693",15940,17226.2,3
"22694",1612,3337.19999999999,2
"22695",695,850.869999999999,2
"22696",694,1307.36,2
"22697",6430,17806.3400000001,3
"22698",5343,14769.4900000001,3
"22699",9132,24865.6000000003,3
"22700",1194,2584.68,2
"22701",436,613.24,2
"22702",1357,2661.9,2
"22703",168,249.42,2
"22704",5275,2167.5,2
"22705",1900,798,2
"22706",2050,845,2
"22707",1250,525,2
"22708",2775,1149.5,2
"22709",1325,528.5,2
"22710",4425,1742.5,2
"22711",2852,1181.84,2
"22712",4319,1721.37,2
"22713",3309,1312.12,2
"22714",3367,1324.89,2
"22715",1506,615.24,2
"22716",3088,1272.27,2
"22717",1170,487.080000000001,2
"22718",1560,646.56,2
"22719",463,508.07,2
"22720",7020,33347.7999999998,3
"22721",910,3949.71999999999,2
"22722",5372,20530,3
"22723",1059,3705.89,2
"22725",1776,6574.26,2
"22726",5641,20880.4,3
"22727",7221,25925.2,3
"22728",5074,18569.09,3
"22729",2182,7995.63,2
"22730",2728,10285.61,2
"22731",1075,1361.95,2
"22732",1522,1930.38,2
"22733",1471,1882.31,2
"22734",2843,8051.83000000002,2
"22735",673,1106.13,2
"22736",1102,1825.46,2
"22737",1227,2075.39,2
"22738",2007,3219.43,2
"22739",1588,2704.44,2
"22740",6625,5475.25000000001,3
"22741",8328,7010.94000000002,3
"22742",628,1245.88,2
"22743",867,2030.61,2
"22744",833,1898.83,2
"22745",1788,3689.94999999998,2
"22746",1319,2733.01999999999,2
"22747",879,1800.9,2
"22748",1895,3933.70999999998,2
"22749",2223,8071.51,2
"22750",1964,7166.94,2
"22751",1514,5446.1,2
"22752",1654,12665.29,2
"22753",918,614.63,2
"22754",1802,1106.44,2
"22755",1577,1012.78,2
"22756",554,546.88,2
"22757",1009,950.459999999999,2
"22758",1122,942.019999999999,2
"22759",5207,8283.75000000001,3
"22760",259,3089.85,2
"22761",34,821.3,2
"22762",145,2070.95,2
"22763",191,1865.65,2
"22764",3,74.85,2
"22765",25,257.37,2
"22766",3206,9365.78000000001,2
"22767",761,6932.82999999999,2
"22768",837,7646.83999999998,2
"22769",6,137.7,2
"22770",83,1223.25,2
"22771",5753,6923.17,3
"22772",3345,3926.72,2
"22773",1852,2242.52,2
"22774",2007,2322.27,2
"22775",2614,3169.87,2
"22776",1116,10570.6,2
"22777",331,2598.45,2
"22778",757,2743.75,2
"22779",1535,5781.35,2
"22780",1340,5018.84,2
"22781",533,3916.79000000001,2
"22782",241,3399.94999999999,2
"22783",462,5922.12,2
"22784",1214,5721.42,2
"22785",212,797.44,2
"22786",108,576.64,2
"22788",205,1734.05,2
"22789",838,1605.84,2
"22791",7336,8378.89,3
"22792",2313,1888.31,2
"22794",300,2373,2
"22795",1099,7084.65,2
"22796",554,5377.44999999999,2
"22797",146,2459.04,2
"22798",1643,4687.01,2
"22799",198,1497.8,2
"22800",765,2817.13,2
"22801",890,3223.35,2
"22802",66,1055.7,2
"22803",46,1715.9,2
"22804",2869,7247.90999999997,2
"22805",1574,1924.18,2
"22806",243,595.65,2
"22807",676,1796.64,2
"22808",320,899.8,2
"22809",1198,3517.66,2
"22810",908,2792.08,2
"22811",775,1987.93,2
"22812",1571,2964.77,2
"22813",2265,4203.33,2
"22814",1581,633.78,2
"22815",1810,747.24,2
"22816",3438,1420.2,2
"22817",1858,763.08,2
"22818",3162,1319.4,2
"22819",1848,758.88,2
"22820",761,494.83,2
"22821",834,542.46,2
"22822",417,2402.66,2
"22823",24,2745,2
"22824",55,1938.25,2
"22825",70,544.5,2
"22826",58,6210,2
"22827",35,5415,2
"22828",10,1530,2
"22829",215,2066.75,2
"22830",131,2610.29,2
"22831",684,1960.2,2
"22832",155,1645.45,2
"22833",75,2503.53,2
"22834",4633,6149.33,2
"22835",2972,13847.28,3
"22837",992,4479.2,2
"22838",652,8737.77999999999,2
"22839",364,4954.55999999999,2
"22840",891,6600.72999999998,2
"22841",516,3895.48,2
"22842",572,3609.8,2
"22843",434,2691.88,2
"22844",826,6779.35,2
"22845",704,4208.08999999999,2
"22846",626,9597.30999999999,2
"22847",851,13191.69,2
"22848",302,4598.35,2
"22849",308,4706.36,2
"22851",2609,2148.23,2
"22852",354,1507.92,2
"22853",431,1396.95,2
"22854",750,3547.3,2
"22855",2508,2984.52,2
"22856",564,650.28,2
"22857",1156,945.16,2
"22858",1081,1718.85,2
"22859",1150,1832.7,2
"22860",567,935.549999999999,2
"22861",292,481.8,2
"22862",143,607.75,2
"22863",693,1948.35,2
"22865",8115,16237.6300000001,3
"22866",6118,12248.76,3
"22867",6001,12081.4300000001,3
"22868",54,105.3,2
"22869",69,134.55,2
"22870",67,130.65,2
"22871",52,101.4,2
"22872",55,107.25,2
"22873",47,91.65,2
"22874",54,105.3,2
"22875",51,99.45,2
"22876",52,101.4,2
"22877",56,109.2,2
"22878",52,109.2,2
"22879",62,69.34,2
"22880",72,88.84,2
"22881",79,102.49,2
"22882",83,110.29,2
"22883",78,100.54,2
"22884",75,94.69,2
"22885",79,102.49,2
"22886",74,92.74,2
"22887",66,77.14,2
"22888",63,71.29,2
"22889",147,164.58,2
"22890",366,3505.12,2
"22891",345,1519.01,2
"22892",2461,3007.85,2
"22893",1464,591.84,2
"22894",291,2821.95,2
"22895",1980,5855.24,2
"22896",1498,3566.77000000001,2
"22897",1298,1850.66,2
"22898",2201,4120.84999999999,2
"22899",1982,3986.87999999999,2
"22900",4580,13068.2,3
"22902",1212,2306.58,2
"22903",153,427.43,2
"22904",1768,5072.63999999999,2
"22905",478,1225.49,2
"22906",1628,2590.2,2
"22907",6102,4966.31999999998,2
"22908",4234,3330.63999999999,2
"22909",8122,6530.25999999998,3
"22910",9433,25669.2700000001,3
"22911",438,1246.94,2
"22912",270,1222.74,2
"22913",327,1479.69,2
"22914",428,1979.64,2
"22915",2928,1104.36,2
"22916",1819,1170.35,2
"22917",1858,1195.7,2
"22918",1776,1122.4,2
"22919",1669,1072.85,2
"22920",3329,2000.35,2
"22921",1648,1059.2,2
"22922",1482,1226.4,2
"22923",1281,1042.05,2
"22924",1188,978.600000000001,2
"22925",427,2517.67,2
"22926",569,3313.55,2
"22927",395,2278.25,2
"22928",251,1535.57,2
"22929",19,1199.75,2
"22930",1041,2515.67,2
